127.0.0.1 - - [26/May/2015:10:20:26 +0300] "GET /springCRUD/book/delete/8 HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:10:20:26 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 9144
127.0.0.1 - - [26/May/2015:10:20:27 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 9144
127.0.0.1 - - [26/May/2015:10:20:27 +0300] "GET /springCRUD/resources/css/pure-0.4.2.css HTTP/1.1" 304 -
127.0.0.1 - - [26/May/2015:10:20:27 +0300] "GET /springCRUD/resources/css/font-awesome-4.0.3/css/font-awesome.css HTTP/1.1" 304 -
127.0.0.1 - - [26/May/2015:10:20:28 +0300] "GET /springCRUD/resources/css/jquery-ui-1.10.4.custom.css HTTP/1.1" 304 -
127.0.0.1 - - [26/May/2015:10:20:28 +0300] "GET /springCRUD/resources/js/lib/jquery-1.10.2.js HTTP/1.1" 304 -
127.0.0.1 - - [26/May/2015:10:20:28 +0300] "GET /springCRUD/resources/js/lib/jquery-ui-1.10.4.custom.js HTTP/1.1" 304 -
127.0.0.1 - - [26/May/2015:10:20:28 +0300] "GET /springCRUD/resources/js/js-for-listBooks.js HTTP/1.1" 304 -
127.0.0.1 - - [26/May/2015:10:20:28 +0300] "GET /springCRUD/resources/js/lib/jquery.ui.datepicker.js HTTP/1.1" 304 -
127.0.0.1 - - [26/May/2015:10:40:33 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:10:40:33 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 9941
127.0.0.1 - - [26/May/2015:10:40:36 +0300] "GET /springCRUD/book/get/15 HTTP/1.1" 200 1017
127.0.0.1 - - [26/May/2015:10:40:39 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:10:40:39 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 9948
127.0.0.1 - - [26/May/2015:10:41:19 +0300] "GET /springCRUD/book/get/14 HTTP/1.1" 200 1011
127.0.0.1 - - [26/May/2015:10:41:23 +0300] "GET /springCRUD/book/get/5 HTTP/1.1" 200 1018
127.0.0.1 - - [26/May/2015:10:41:45 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:10:41:45 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 9969
127.0.0.1 - - [26/May/2015:10:41:47 +0300] "GET /springCRUD/book/get/1 HTTP/1.1" 200 1029
127.0.0.1 - - [26/May/2015:10:41:54 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:10:41:54 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 9967
127.0.0.1 - - [26/May/2015:10:41:56 +0300] "GET /springCRUD/book/get/14 HTTP/1.1" 200 1011
127.0.0.1 - - [26/May/2015:10:42:08 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:10:42:08 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 9984
127.0.0.1 - - [26/May/2015:10:42:10 +0300] "GET /springCRUD/book/get/15 HTTP/1.1" 200 1024
127.0.0.1 - - [26/May/2015:10:42:36 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:10:42:37 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 9993
127.0.0.1 - - [26/May/2015:10:42:39 +0300] "GET /springCRUD/book/get/16 HTTP/1.1" 200 1019
127.0.0.1 - - [26/May/2015:10:43:08 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:10:43:08 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 10039
127.0.0.1 - - [26/May/2015:10:43:12 +0300] "GET /springCRUD/book/get/18 HTTP/1.1" 200 1011
127.0.0.1 - - [26/May/2015:10:43:33 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:10:43:33 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 10069
127.0.0.1 - - [26/May/2015:10:43:35 +0300] "GET /springCRUD/book/get/19 HTTP/1.1" 200 1015
127.0.0.1 - - [26/May/2015:10:43:49 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:10:43:49 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 10086
127.0.0.1 - - [26/May/2015:10:43:51 +0300] "GET /springCRUD/book/get/20 HTTP/1.1" 200 1011
127.0.0.1 - - [26/May/2015:10:44:38 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:10:44:38 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 10150
127.0.0.1 - - [26/May/2015:10:44:41 +0300] "GET /springCRUD/book/get/21 HTTP/1.1" 200 1020
127.0.0.1 - - [26/May/2015:10:45:04 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:10:45:04 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 10178
127.0.0.1 - - [26/May/2015:10:45:15 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 10178
127.0.0.1 - - [26/May/2015:10:45:16 +0300] "GET /springCRUD/resources/css/font-awesome-4.0.3/css/font-awesome.css HTTP/1.1" 304 -
127.0.0.1 - - [26/May/2015:10:45:16 +0300] "GET /springCRUD/resources/css/pure-0.4.2.css HTTP/1.1" 304 -
127.0.0.1 - - [26/May/2015:10:45:16 +0300] "GET /springCRUD/resources/css/jquery-ui-1.10.4.custom.css HTTP/1.1" 304 -
127.0.0.1 - - [26/May/2015:10:45:16 +0300] "GET /springCRUD/resources/js/lib/jquery-1.10.2.js HTTP/1.1" 304 -
127.0.0.1 - - [26/May/2015:10:45:16 +0300] "GET /springCRUD/resources/js/lib/jquery-ui-1.10.4.custom.js HTTP/1.1" 304 -
127.0.0.1 - - [26/May/2015:10:45:16 +0300] "GET /springCRUD/resources/js/lib/jquery.ui.datepicker.js HTTP/1.1" 304 -
127.0.0.1 - - [26/May/2015:10:45:16 +0300] "GET /springCRUD/resources/js/js-for-listBooks.js HTTP/1.1" 304 -
127.0.0.1 - - [26/May/2015:10:52:26 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:10:52:27 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 10996
127.0.0.1 - - [26/May/2015:11:03:57 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:11:03:57 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 11789
127.0.0.1 - - [26/May/2015:11:04:13 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:11:04:13 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 12604
127.0.0.1 - - [26/May/2015:11:04:38 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:11:04:38 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 13425
127.0.0.1 - - [26/May/2015:11:04:55 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:11:04:55 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 14226
127.0.0.1 - - [26/May/2015:11:05:31 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:11:05:32 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 15053
127.0.0.1 - - [26/May/2015:11:05:43 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:11:05:43 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 15854
127.0.0.1 - - [26/May/2015:11:06:04 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:11:06:04 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 16672
127.0.0.1 - - [26/May/2015:11:06:12 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:11:06:12 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 17465
127.0.0.1 - - [26/May/2015:11:06:19 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:11:06:19 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 18248
127.0.0.1 - - [26/May/2015:11:06:23 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:11:06:23 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 19031
127.0.0.1 - - [26/May/2015:11:06:25 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:11:06:25 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 19814
127.0.0.1 - - [26/May/2015:11:06:29 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:11:06:29 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 20598
127.0.0.1 - - [26/May/2015:11:06:33 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:11:06:33 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 21381
127.0.0.1 - - [26/May/2015:11:06:36 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:11:06:36 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 22164
127.0.0.1 - - [26/May/2015:11:06:40 +0300] "POST /springCRUD/book/save HTTP/1.1" 302 -
127.0.0.1 - - [26/May/2015:11:06:40 +0300] "GET /springCRUD/book/list HTTP/1.1" 200 22947
127.0.0.1 - - [26/May/2015:11:12:56 +0300] "GET /audioLibrary/ HTTP/1.1" 404 1020
127.0.0.1 - - [26/May/2015:11:15:34 +0300] "GET /springCRUD/book/get/34 HTTP/1.1" 200 1005
